colony	meandp	Donor	CellType	Cell.type2	Tissue	Age	Project	Nmut	Nmut_adj_as	Nmut_indel	Nmut_adj_as_indel	Nmut_hsc_as	Nmut_hsc_as_indel	Telomere
BMH1_plate_20181119_G03	22.28398972	AX001	HSC	HSC	blood	63	1321	1060	1205.599243	45	58.67006904	1070.60160146803	52.6861269780652	2190.8
BMH1_plate_20181119_G04	22.48660323	AX001	HSC	HSC	blood	63	1321	1038	1178.288454	38	51.24968443	1048.02493253837	45.4251429441239	2200.9
BMH1_plate_20181119_G05	20.19795187	AX001	HSC	HSC	blood	63	1321	1142	1348.525168	44	62.21951303	1160.37174650014	54.6059889461943	1668.4
BMH1_plate_20181119_H01	14.58092708	AX001	HSC	HSC	blood	63	1321	931	1374.728861	22	54.7226946	1002.50637546391	43.0341920717774	1403.2
BMH1_plate_20181119_H02	20.61916883	AX001	HSC	HSC	blood	63	1321	938	1131.250675	40	57.26748933	954.49327231625	49.9806446659667	1397.9
BMH1_plate_20181119_H03	20.17493385	AX001	HSC	HSC	blood	63	1321	946	1153.265695	42	60.27203956	964.479666882072	52.6407099410028	2249.6
BMH1_plate_20181119_H04	17.31808934	AX001	HSC	HSC	blood	63	1321	1038	1350.683994	42	67.21495041	1075.3809290839	57.4279344165066	1775.3
BMH1_plate_20181119_H05	14.85251647	AX001	HSC	HSC	blood	63	1321	892	1321.182386	27	58.93738118	959.0972796985	47.4273957883319	2455
BMH1_PlateB1_B10	27.53871	AX001	B Naive	Naive B	blood	63	1903	1174	1209.664445	38	41.87562492	1175.66544408687	40.0070285754627	2434.3
BMH1_PlateB1_C3	19.61421008	AX001	B Naive	Naive B	blood	63	1903	1136	1361.804594	36	55.56789744	1157.29064364928	47.5044964201383	2442.7
BMH1_PlateB1_D3	18.33861061	AX001	B Naive	Naive B	blood	63	1903	1099	1370.768123	42	64.63569051	1128.18978045192	55.6040703813782	2294.4
BMH1_PlateB1_D4	17.5868119	AX001	B Naive	Naive B	blood	63	1903	984	1285.529889	32	56.5246936	1019.03676202889	46.9346371752045	2457.2
BMH1_PlateB1_E2	17.07225623	AX001	B Memory	Memory B	blood	63	1903	1537	1860.135533	57	82.85348118	1576.65435810926	72.8876268650298	2514.5
BMH1_PlateB1_G8	13.7666541	AX001	B Memory	Memory B	blood	63	1903	2384	2873.614917	62	97.13330274	2470.47878650148	84.9260549582041	12298.4
BMH1_PlateB2_C3	10.59306506	AX001	B Naive	Naive B	blood	63	1903	784	1489.704305	23	68.38290795	964.109211783305	54.4519162222466	2484.9
BMH1_PlateB2_D3	11.42012409	AX001	B Naive	Naive B	blood	63	1903	906	1549.096638	18	60.57470019	1054.89344043643	47.039555926575	3403.2
BMH1_PlateB2_D4	9.856990456	AX001	B Naive	Naive B	blood	63	1903	720	1485.631082	16	63.96815181	933.275144880416	49.7227814776579	2343.6
BMH1_PlateB2_D9	8.384514611	AX001	B Naive	Naive B	blood	63	1903	597	1495.582362	14	67.39365656	895.82488152319	52.6421695078533	3238.2
BMH1_PlateB2_E5	23.88972268	AX001	B Memory	Memory B	blood	63	1903	2335	2441.137941	99	109.4374744	2341.68309531376	104.718352787577	3823.6
BMH1_PlateB2_F11	17.29241125	AX001	B Memory	Memory B	blood	63	1903	2535	2848.764524	126	151.2813295	2572.61250460047	141.475571976952	3966.5
BMH1_PlateB2_G2	25.65996987	AX001	B Memory	Memory B	blood	63	1903	2209	2277.958239	107	114.1246334	2212.73489958067	110.796413757266	2000.8
BMH1_PlateB3_B4	14.60805596	AX001	B Naive	Naive B	blood	63	1903	1096	1538.259209	40	72.64383406	1167.05362873594	60.9730457931207	3162.7
BMH1_PlateB3_B6	14.96939096	AX001	B Naive	Naive B	blood	63	1903	1194	1617.034906	36	67.60226194	1259.2819689324	56.1698889893179	2805.9
BMH1_PlateB3_C7	16.52855795	AX001	B Naive	Naive B	blood	63	1903	1045	1392.118948	45	72.29005507	1090.15664857833	61.9335975571032	2683.4
BMH1_PlateB3_C9	9.005876129	AX001	B Naive	Naive B	blood	63	1903	611	1451.247123	11	62.06194291	870.213901071321	47.5026617941308	2589.4
BMH1_PlateB3_E5	16.87217422	AX001	B Memory	Memory B	blood	63	1903	2580	2911.820498	94	120.3782162	2621.60067960218	110.267805140495	2740.3
BMH1_PlateB4_B5	8.234053052	AX001	B Naive	Naive B	blood	63	1903	507	1420.223493	12	65.96777291	816.286807720988	51.1747671800568	2245.4
BMH1_PlateB4_C3	16.19446129	AX001	B Naive	Naive B	blood	63	1903	1013	1375.470745	38	66.18973237	1061.89055602487	55.596891902088	3425.4
BMH1_PlateB4_C6	25.15719774	AX001	B Naive	Naive B	blood	63	1903	1109	1187.901825	41	49.03985753	1113.45554455757	45.3176586952187	2690.5
BMH1_PlateB4_D7	13.4314385	AX001	B Naive	Naive B	blood	63	1903	993	1502.540343	37	73.1506404	1086.49339392872	60.7376096704977	3288.8
BMH1_PlateB4_D9	16.60116862	AX001	B Naive	Naive B	blood	63	1903	1404	1747.84522	42	69.09623871	1448.38193209341	58.791533685024	3043.3
BMH1_PlateB4_E5	11.41234717	AX001	B Memory	Memory B	blood	63	1903	1397	2040.663161	44	86.60064088	1546.16050721319	73.0615789701807	8983.9
BMH1_PlateB4_E8	11.90505761	AX001	B Memory	Memory B	blood	63	1903	1742	2350.569957	60	100.9742983	1875.13844835694	87.6903257485371	2861.9
BMH1_PlateB5_B10	9.823806487	AX001	B Naive	Naive B	blood	63	1903	714	1482.430764	10	58.08665225	928.904892718313	43.8280125685544	3312.9
BMH1_PlateB5_C5	21.78348672	AX001	B Naive	Naive B	blood	63	1903	1065	1224.156098	59	73.72446008	1077.14517064528	67.347334639432	2617.8
BMH1_PlateB5_C9	27.49041003	AX001	B Naive	Naive B	blood	63	1903	1199	1235.449411	43	46.95588653	1200.70833916047	45.0500722785823	2904.2
PD40315ad	15.56151956	CB001	HSC	HSC	cordblood	0	2084	54	62.7833942	0	1.265454743	57.7396304535552	1.52621496497239	9016.3
