colony	meandp	Donor	CellType	Cell.type2	Tissue	Age	Project	Nmut	Nmut_adj_as	Nmut_indel	Nmut_adj_as_indel	Nmut_hsc_as	Nmut_hsc_as_indel
B9_A6	15.528101	AX001	B Naive	Naive B	blood	63	1903	952	1346.555013	37	67.02347099	1009.23954961744	55.9683283004288
B9_B10	8.021895616	AX001	B Naive	Naive B	blood	63	1903	556	1490.219963	11	65.78367751	880.659176305976	50.9355958821792
B9_F4	8.812544197	AX001	B Memory	Memory B	blood	63	1903	1183	2041.037073	33	84.78072989	1453.9452395952	70.1581516906613
BMH1_PlateB1_B10	27.53871	AX001	B Naive	Naive B	blood	63	1903	1174	1209.664445	38	41.87562492	1175.66544408687	40.0070285754627
BMH1_PlateB1_C3	19.61421008	AX001	B Naive	Naive B	blood	63	1903	1136	1361.804594	36	55.56789744	1157.29064364928	47.5044964201383
BMH1_PlateB1_D3	18.33861061	AX001	B Naive	Naive B	blood	63	1903	1099	1370.768123	42	64.63569051	1128.18978045192	55.6040703813782
BMH1_PlateB1_D4	17.5868119	AX001	B Naive	Naive B	blood	63	1903	984	1285.529889	32	56.5246936	1019.03676202889	46.9346371752045
BMH1_PlateB1_E2	17.07225623	AX001	B Memory	Memory B	blood	63	1903	1537	1860.135533	57	82.85348118	1576.65435810926	72.8876268650298
BMH1_PlateB1_G8	13.7666541	AX001	B Memory	Memory B	blood	63	1903	2384	2873.614917	62	97.13330274	2470.47878650148	84.9260549582041
BMH1_PlateB2_C3	10.59306506	AX001	B Naive	Naive B	blood	63	1903	784	1489.704305	23	68.38290795	964.109211783305	54.4519162222466
BMH1_PlateB2_D3	11.42012409	AX001	B Naive	Naive B	blood	63	1903	906	1549.096638	18	60.57470019	1054.89344043643	47.039555926575
BMH1_PlateB2_D4	9.856990456	AX001	B Naive	Naive B	blood	63	1903	720	1485.631082	16	63.96815181	933.275144880416	49.7227814776579
BMH1_PlateB2_D9	8.384514611	AX001	B Naive	Naive B	blood	63	1903	597	1495.582362	14	67.39365656	895.82488152319	52.6421695078533
BMH1_PlateB2_E5	23.88972268	AX001	B Memory	Memory B	blood	63	1903	2335	2441.137941	99	109.4374744	2341.68309531376	104.718352787577
BMH1_PlateB2_F11	17.29241125	AX001	B Memory	Memory B	blood	63	1903	2535	2848.764524	126	151.2813295	2572.61250460047	141.475571976952
BMH1_PlateB2_G2	25.65996987	AX001	B Memory	Memory B	blood	63	1903	2209	2277.958239	107	114.1246334	2212.73489958067	110.796413757266
BMH1_PlateB3_B4	14.60805596	AX001	B Naive	Naive B	blood	63	1903	1096	1538.259209	40	72.64383406	1167.05362873594	60.9730457931207
BMH1_PlateB3_B6	14.96939096	AX001	B Naive	Naive B	blood	63	1903	1194	1617.034906	36	67.60226194	1259.2819689324	56.1698889893179
BMH1_PlateB3_C7	16.52855795	AX001	B Naive	Naive B	blood	63	1903	1045	1392.118948	45	72.29005507	1090.15664857833	61.9335975571032
BMH1_PlateB3_C9	9.005876129	AX001	B Naive	Naive B	blood	63	1903	611	1451.247123	11	62.06194291	870.213901071321	47.5026617941308
BMH1_PlateB3_E5	16.87217422	AX001	B Memory	Memory B	blood	63	1903	2580	2911.820498	94	120.3782162	2621.60067960218	110.267805140495
BMH1_PlateB4_B5	8.234053052	AX001	B Naive	Naive B	blood	63	1903	507	1420.223493	12	65.96777291	816.286807720988	51.1747671800568
BMH1_PlateB4_C3	16.19446129	AX001	B Naive	Naive B	blood	63	1903	1013	1375.470745	38	66.18973237	1061.89055602487	55.596891902088
BMH1_PlateB4_C6	25.15719774	AX001	B Naive	Naive B	blood	63	1903	1109	1187.901825	41	49.03985753	1113.45554455757	45.3176586952187
BMH1_PlateB4_D7	13.4314385	AX001	B Naive	Naive B	blood	63	1903	993	1502.540343	37	73.1506404	1086.49339392872	60.7376096704977
BMH1_PlateB4_D9	16.60116862	AX001	B Naive	Naive B	blood	63	1903	1404	1747.84522	42	69.09623871	1448.38193209341	58.791533685024
BMH1_PlateB4_E5	11.41234717	AX001	B Memory	Memory B	blood	63	1903	1397	2040.663161	44	86.60064088	1546.16050721319	73.0615789701807
BMH1_PlateB4_E8	11.90505761	AX001	B Memory	Memory B	blood	63	1903	1742	2350.569957	60	100.9742983	1875.13844835694	87.6903257485371
BMH1_PlateB5_B10	9.823806487	AX001	B Naive	Naive B	blood	63	1903	714	1482.430764	10	58.08665225	928.904892718313	43.8280125685544
BMH1_PlateB5_C5	21.78348672	AX001	B Naive	Naive B	blood	63	1903	1065	1224.156098	59	73.72446008	1077.14517064528	67.347334639432
BMH1_PlateB5_C9	27.49041003	AX001	B Naive	Naive B	blood	63	1903	1199	1235.449411	43	46.95588653	1200.70833916047	45.0500722785823
T1_A1	32.21590516	AX001	CD4 Naive	Naive T	blood	63	1903	1584	1558.18928	62	58.84694648	1583.12045278813	60.4728048625208
T1_A10	30.85914145	AX001	CD4 Naive	Naive T	blood	63	1903	1594	1583.355816	79	77.74149447	1593.60574165064	78.3788777028827
T1_A11	29.97635822	AX001	CD4 Naive	Naive T	blood	63	1903	1501	1501.305126	50	50.03529774	1501.011973899	50.0176398524909
T1_A12	28.38059661	AX001	CD4 Naive	Naive T	blood	63	1903	1750	1772.534735	71	73.50325301	1750.98860548132	72.2802537598328
T1_A2	24.97018325	AX001	CD4 Naive	Naive T	blood	63	1903	1389	1471.721022	53	61.38540566	1393.7452997665	57.5163981197719
T1_A4	26.73838544	AX001	CD4 Naive	Naive T	blood	63	1903	1408	1457.138159	60	65.22743864	1410.44061580413	62.7398804156456
T1_A5	24.02873604	AX001	CD4 Naive	Naive T	blood	63	1903	1312	1414.991306	46	56.168043	1318.40633791323	51.5584303427634
T1_A7	26.74793979	AX001	CD4 Naive	Naive T	blood	63	1903	1468	1516.971299	51	56.21102172	1470.43050580062	53.7308802047647
T1_A8	24.66017663	AX001	CD4 Naive	Naive T	blood	63	1903	1111	1200.20039	44	52.9644018	1116.25355973963	48.8517759688993
T1_B10	28.1710367	AX001	CD4 Naive	Naive T	blood	63	1903	1342	1367.707297	53	55.84019938	1343.14518859756	54.4570737412129
T1_B5	26.99830423	AX001	CD4 Naive	Naive T	blood	63	1903	1479	1523.651696	68	72.78326967	1481.17326702683	70.497240681735
T1_B7	26.51702114	AX001	CD4 Naive	Naive T	blood	63	1903	1687	1740.045748	74	79.60968206	1689.68108415869	76.9501297876842
T1_B8	24.17025831	AX001	CD4 Naive	Naive T	blood	63	1903	1337	1436.829477	44	53.895409	1343.13341651479	49.3972533244145
T1_C4	19.59251254	AX001	CD8 Naive	Naive T	blood	63	1903	1088	1314.541599	35	54.61867494	1109.40676961608	46.5386243882628
T1_C8	29.70817081	AX001	CD8 Naive	Naive T	blood	63	1903	1357	1360.813851	42	42.4382427	1357.15239854366	42.219851495477
T1_F1	27.52843807	AX001	CD4 Memory	Memory T	blood	63	1903	1632	1667.831089	61	64.89268018	1633.67452727637	63.0161702184634
T1_F5	23.87905634	AX001	CD4 Memory	Memory T	blood	63	1903	1668	1774.381082	65	75.4582159	1674.70469501186	70.730690332549
T10_A1	25.13446118	AX001	CD4 Naive	Naive T	blood	63	1903	1499	1578.362611	78	86.08171954	1503.49011911627	82.3416788408477
T10_A11	20.09504317	AX001	CD4 Naive	Naive T	blood	63	1903	1165	1374.84828	49	67.45475549	1183.85864382964	59.7616660566111
T10_A3	26.20575659	AX001	CD4 Naive	Naive T	blood	63	1903	1208	1266.678442	55	61.1533949	1211.04032355817	58.2514771175934
T10_A4	27.62931045	AX001	CD4 Naive	Naive T	blood	63	1903	1571	1605.201521	69	72.72552391	1572.58624029782	70.9266898174638
T10_B5	30.25090653	AX001	CD4 Naive	Naive T	blood	63	1903	1305	1301.802855	55	54.62761068	1304.87680683215	54.8146264453082
T11_B3	24.50023716	AX001	CD4 Naive	Naive T	blood	63	1903	1222	1314.617177	57	66.26617258	1227.53011139272	62.0277479559297
T11_B8	23.14407809	AX001	CD4 Naive	Naive T	blood	63	1903	1334	1457.729669	57	68.91066079	1342.32629958972	63.6039420422172
T11_E10	24.44348961	AX001	CD4 Memory	Memory T	blood	63	1903	1513	1606.841751	58	67.37374448	1518.63067115878	63.0906705291246
T11_F1	26.33504532	AX001	CD4 Memory	Memory T	blood	63	1903	1522	1578.318968	58	63.92666617	1524.88801993583	61.1254897265021
T13_A10	31.6147765	AX001	CD4 Naive	Naive T	blood	63	1903	1354	1334.67303	77	74.67263465	1353.31716444622	75.8633791392304
T13_A2	25.91513494	AX001	CD4 Naive	Naive T	blood	63	1903	1382	1446.087144	69	75.66770581	1385.39944883244	72.5389865667367
T13_A3	29.63394081	AX001	CD4 Naive	Naive T	blood	63	1903	1390	1394.800607	64	64.55060057	1390.19280072967	64.2765121582908
T13_A4	27.83683405	AX001	CD4 Naive	Naive T	blood	63	1903	1615	1645.8968	64	67.3839199	1616.41084393446	65.744627825466
T13_B11	23.03598477	AX001	CD4 Naive	Naive T	blood	63	1903	1664	1790.382832	66	78.12819562	1672.58844372867	72.7363033175638
T13_B2	20.15470446	AX001	CD4 Naive	Naive T	blood	63	1903	1422	1629.91784	42	60.31824717	1440.57498245402	52.6712728644151
